math score	reading score	writing score	placement score	  club join year	placement offer count
63		      84	      64                84            2020	            3
71	              80	      76	        86	      2018	            2
64	              81              66	        81	      2020	            3
71	              85	      77	        91	      2018	            1
68	              86	      76	        92	      2021	            2
79	              86       	      61	        100	      2019	            3
75	              79	      66	        76	      2020	            3
71	              79	      66	        95	      2019	            1
66	              88	      66	        88	      2020	            2
70	              79	      61	        87	      2021	            2
78	              80	      65	        85	      2021	            3
76	              84	      73	        92	      2020	            3
74	              79	      79	        98	      2019	           2
